scenario_id,domain,complexity,strategy,provider,execution_time,tokens_used,cost_usd,pqs,sccs,iir,cem
travel_planning_001,travel_planning,low,srlp,gpt4,0.9240621761558657,1283,0.3099914234624653,90.59871322408986,91.01735698828816,100.0,94.55726870767224
travel_planning_001,travel_planning,low,srlp,claude3,1.4068843236511928,1060,0.2172483635060344,90.58412227845221,83.30525614065049,100.0,72.82924076468784
travel_planning_001,travel_planning,low,srlp,gemini,1.3637887800060056,988,0.2539507699712595,64.57565733989574,77.97712470759026,76.67102655598691,75.97822599335746
travel_planning_001,travel_planning,low,cot,gpt4,2.8383325516240254,1233,0.16535124890128608,57.95803475139009,69.97528204687923,34.878021765438525,87.50055547927336
travel_planning_001,travel_planning,low,cot,claude3,0.8253805848861215,1039,0.2928567795519709,66.69489048064956,63.083062502067236,42.279520653247246,100.0
travel_planning_001,travel_planning,low,cot,gemini,2.478059494954494,612,0.08382618535632451,67.88077710143898,70.92544912103189,32.37487620034774,85.4797723550428
travel_planning_001,travel_planning,low,tot,gpt4,1.7303257294855465,1432,0.24537415276504396,86.7577326399633,99.88868281189973,85.23722061134112,66.5900667396964
travel_planning_001,travel_planning,low,tot,claude3,0.6936896720282726,1084,0.3223570878549921,72.69486670669632,96.93618289568462,61.343518135647194,68.91675572455316
travel_planning_001,travel_planning,low,tot,gemini,4.188036315108784,1137,0.14004862413601452,67.73462399755232,94.94176288840868,90.74699426995141,71.08152107204579
travel_planning_001,travel_planning,low,react,gpt4,1.4312208760258844,1144,0.1888019440797197,73.55218084012034,89.93763431403563,92.55654152546832,82.31243185939239
travel_planning_001,travel_planning,low,react,claude3,0.8184309840387547,1491,0.31647286031522376,81.3002065791536,96.06240028570824,76.13587854103599,91.53179608102822
travel_planning_001,travel_planning,low,react,gemini,0.5643694349752844,1446,0.17580220068646366,77.42476371116754,78.01673960890048,91.92572386976806,54.7972940631923
travel_planning_002,travel_planning,low,srlp,gpt4,6.453163824614939,1039,0.26090352658924554,87.32137654590537,89.40992649534134,99.27612931842606,62.96187976859197
